Prompt Cards,Set
"In his newest and most difficult stunt, David Blaine must escape from ______.",CAH : Second Expansion
"In his newest and most difficult stunt, David Blaine must escape from ______.",CAH: Red Box Expansion
"In his next movie, Rob Schneider is ______.",Carps & Angsty Manatee - Volume 1
"In his youth, St. Augustine struggled with ______.",The Catholic Card Game: Base Deck
"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",CAH: First Expansion
"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",CAH: Red Box Expansion
"In its new tourism campaign, Soweto proudly proclaims that it has finally eliminated ___.",Cards Against/For South Africa
"In its new tourism campaign, Soweto proudly proclaims that it has finally eliminated ___.",Hilarious!
"In J.K. Rowling's new novel, Harry Potter and the Cursed Corps, Harry uses ______ in his fight against the dark forces of ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"In junior high, my favorite teacher taught me about ________.",Skewered And Roasted
"In Kentucky, it is illegal to keep ______ in your underwear, unless you are ______.",The Game Without Decency
In KZN there are whisperings that Nkandla has a secret room devoted to ___.,Hilarious!
"In KZN, there are whisperings that Nkandla has a secret room devoted to ___.",Cards Against/For South Africa
"In L.A. County Jail, word is you can trade 200 cigarettes for ______.",CAH Base Set
"In line with our predictions, we find a robust correlation between ______ and ______ (p<.05).",Science Pack
"In M. Night Shyamalan's new movie, Bruce Willis discovers that ______ had really been ______ all along.",CAH Base Set
"In Michael Jackson's final moments, he thought about ______.",CAH Base Set
"In Michael Jackson's final moments, he thought about ___.",Cards Against/For South Africa
"In Michael Jackson's final moments, he thought about ___.",Hilarious!
"In middle school, the biggest rumor about me was ____.",Dirty Nasty Filthy
"In my day, ______ only cost a nickel.",Cakes Athirst Hilarity Volume 4
In my dream there were zombies _________.,Not Parent Approved
"In my dreams, I am ______.",The Catholic Card Game: Five Deck Expansion Pack
In my highly-anticipated sex-tape; ____ hits the fan when I ____.,Dirty Nasty Filthy
"In my last will and tetament, I will leave all my money to _______.",Cards Against Profanity
"In my life, there's always room for more ______.",Rotten Apples: The Tasteless Adult Party Game
In my nightmares I'm being chased by ______.,Conspiracy Theory
"In my opinion, ______ is grounds for justifiable homicide.",Crabs Adjust Humidity: Volume 1
"In my school, my unofficial major was ______.",Rotten Apples: The Tasteless Adult Party Game
In my will I'm leaving my children ______.,WTF Did You Say?!?
"In order to stop my family from talking politics, I distract them with ______.",Crabs Adjust Humidity: Volume 6
"In order to win more voters, Hillary Clinton will now support _________.","Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
"In Pixar's new movie, Fuck Your Feelings, a lovable infantry platoon harnesses the power of ______ to explodinate terrorist faces.",Disgruntled Decks: Marine Corps/Jarhead Edition
"In place of corective training, what are leaders now encouraged to use as punishment?",Disgruntled Decks: Army Edition
"In Poland, the #1 cause of infant mortality is ______.",Cakes Athirst Hilarity Volume 3
"In preschool, I made finger paintings of ________.",Skewered And Roasted
"In Pretoria Central Prison, word is you can trade 200 cigarettes for ___.",Cards Against/For South Africa
"In Pretoria Central Prison,word goes around that you can trade 2000 cigarettes for ___.",Hilarious!
"In psychology ""Insert Name"" learned that basic human needs include ______.",Personally Incorrect - Expansion [Red Box]
"In Radiohead's new single, Thom Yorke repeats the phrase ""______"" dozens of times over a skittering drum beat.",Absurd Box Expansion
"In return for my soul, the Devil promised me ______, but all I got was ______.",CAH: Blue Box Expansion
"In return for my soul, the Devil promised me ______, but all I got was ______.",CAH: Fourth Expansion
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",CAH Base Set
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",CAH: First Expansion
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",CAH: Red Box Expansion
"In some cultures, ______ is considered a good omen.",Rotten Apples: The Tasteless Adult Party Game
"In some families, _________ is a bad word!",Not Parent Approved
"In space, no one can hear ______.",Cards and Punishment Vol. One
"In terms of career development, I'm most focused on ________.",Skewered And Roasted
"In the 1950s, psychologists prescribed ______ as a cure for homosexually.",CAH: Green Box Expansion
"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",CAH: Blue Box Expansion
"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",CAH: Fourth Expansion
"In the category ___, the first prize is awarded to ___.",Cards Against/For South Africa
"In the category ___, the first prize is awarded to ___.",Hilarious!
"in the cave, Batman turned to Robin and said ______",That's What She Said Game
"In the days before her death, Maya Angelou wrote a moving essay about _______.",Crabs Adjust Humidity: Volume 7
in the delivery room the doctor examined ______,That's What She Said Game
"In the distan future, historians will agree that ___ marked the beginning of South Africa's decline",Cards Against/For South Africa
"In the distand future, historians will agree that ___ marked the beginning of South Africa's decline.",Hilarious!
"In the distant future, historians will agree that ______ marked the beginning of America's decline.",CAH: First Expansion
"In the final round of this year's Omegathon, Omeganauts must face off in a game of ______.",PAX East 2013 Promo Pack B
"In the follow up to his #1 Best Seller ""Own Your Future,"" David Seymour has teased ______, a documentary series focused on _______.",Kiwis Versus Morality
"In the follow up to his #1 Best Seller ""Own Your Future"", David Seymour has teased _______, a documentary series focused on ______.",Kiwis Against Morality
"In the future, ______will be used as currency.",The Game Without Decency
"In the future, the government will send someone back in time to warn us about _____.",Clones Attack Hilarity #2
"In the future, we will refer to this year as “The Year of ______.”",Cards and Punishment Vol. Two
"In the gas chamber, it feels like _________.",Charlie Foxtrot
In the grim darkness of the far future there is only ______.,Cards for the Masses
"In the land of the blind, the one-eyed man is _______.",Bards Dispense Profanity
"In the last election ""Insert Name"" voted for the only woman candidate because of her love for ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"In the last year, CNN has aired thousands of Trump stories. But not once has it mentioned his ______.",Trumped UpCards: The World's Biggest Deck*
"In the late 1990s, Trump tried to court his ""dream lady,"" Lady Diana, by bombarding her with ______.",Trumped UpCards: The World's Biggest Deck*
"In the latest multi-level marketing scheme sweeping the nation, women are throwing parties to sell ______.",Carps & Angsty Manatee - Volume 1
"In the latest politcal news, the Public Protector reveals that ___ has really been ___ all along.",Cards Against/For South Africa
"In the latest political news, the Public Protector reveals that ___ had really been ___ all along.",Hilarious!
"in the morgue, the detective turned to his partner and chuckled ______",That's What She Said Game - First Expansion
"In the name of ______, I command you to stop ______.",The Catholic Card Game: Five Deck Expansion Pack
"In the new Disney Channel Original Movie, Hannah Montana struggles with ______ for the first time.",CAH Base Set
"In the new DLC for Mass Effect, Shepard must save the galaxy from ______.",PAX Prime 2013
"In the new episode of Pimp My Barracks, a few lucky Marines find themselves with a room full of ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"In the new Leon Schuster movie, Abdul Raashbanja pranks ___ for the first time.",Hilarious!
"in the new Leon Schuster movie, Abdul Rajhbanja pranks ___ for the first time",Cards Against/For South Africa
"In the newest film from Taika Waititi, _____ finds _____ in the woods and long story short, results in _____.","Clams Attempt Harmonica, Volume 1"
"In the newest Tom Hanks war porn, an infantry platoon must overcome ______ to accomplish their mission.",Disgruntled Decks: Army Edition
"In the news story of the year, Whittaker's have announced their latest collaboration with ______, a new ______ flavoured chocolate.",Kiwis Versus Morality
"In the next election, voters must choose between ______ and ______.",Carps & Angsty Manatee - Volume 2
"In the next episode, Ms. Frizzle and her class explore ______ in the Magic School Bus.",Carps & Angsty Manatee - Volume 1
In the next Marvel movie we will witness ______ take on ______ for world domination.,Cats Abiding Horribly: Episode I - The Dirty Goblin
"In the original Star Trek, Captain Kirk's chair was the perfect level so he could spin around and see Uhura's ______,",Voter's Choice: The Fourth Expansion
"in the produce section, an old man picked up an avocado, squeezed it and whispered ______",That's What She Said Game - First Expansion
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",CAH Base Set
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",CAH: Red Box Expansion
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",CAH: Third Expansion
In the UK it's now socially acceptable to have ____ in public,Pigs Against Profanity: Volume 1
"In the United States Air Force, we fight in Air, Space, and ______.",Disgruntled Decks: Air Force Edition
"In the year 2069, you can get ______ any time, any where.",Evil Apples
In the year book I was voted most likely to ______.,Voter's Choice: The Third Expansion
"In the years ahead, pundits will debate the impact of the ______-gate scandal on Obama's legacy.",Crabs Adjust Humidity: Volume 6
"In their new self-produced album, Die Antwoord raps over the sounds of ___.",Cards Against/For South Africa
"In thier new self-produced album, Die Antwoord raps over the sounds of ___.",Hilarious!
"In this Administration, there's no official White House pet. For unconditional love, Trump nuzzles ______.",Trumped UpCards: Many Sides  Expansion Pack
"In this essay, I will be ______.",Cads Against Adulting
"In this paper, I will explore ______ from a feminist perspective.",CAH: College Pack
"In this very special episode of Dora the Explorer, Dora and Boots discover first-hand what it is like to be ______.",Cats Abiding Horribly: Episode II - A New Low
In this week's My Food Bag I found ______.,Kiwis Versus Morality
"In today's news conference, Donald Trump made headlines when he denounced ______.",Crabs Adjust Humidity: Volume 6
"In Toronto, the phrase ""Going to City Hall"" is actually slang for ______",Cards About Toronto
In Trump tower you'll find 60 stories of _________(s) and __________(s).,Humanity Hates Trump: Expansion Pack 1
"In Trump's America, the only acceptable form of dissent is ______.",Trumped UpCards: Many Sides  Expansion Pack
"In Trump's opinion, free speech is warranted only in cases of ______.",Trumped UpCards: The World's Biggest Deck*
"In Trump's opinion, the NFL should have more head-on-head collisions and ______.",Trumped UpCards: The World's Biggest Deck*
"In Valhalla, it is said that all brave warriors are given ______.",Crabs Adjust Humidity: Volume 3
"In war, there is no substitute for ______.",Words Against Morality: Volume 2
"In what some are calling an act of desperation, the conservative billionaire Koch brothers are funding ______.",Crabs Adjust Humidity: Volume 6
"In what's being hailed as a major breakthrough, scientists have synthesized ______ in the lab.",Science Pack
"In Wormwood Scrubs, word is you can trade 200 cigarettes for ___________.",CAH: UK Conversion Kit
"In Wormwood Scrubs, word is you can trade 200 cigarettes for ______.",CAH Base Set
"In your Best-Man speech, I'd talk about when we found ourselves ______.",Carbs of the Huge Manatee: General Expansion 1
Inappropriate names for video games.,WTF Did You Say?!?
Indie-dyed yarns can have some crazy color names. Last week I bought a colorway called ______.,Knitters Against Swatches Second Edition
Infantry platoon - rational decisions making abilities = ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
Informing the Police Officer that ____ is the reason you are speeding.,Depravity
Instagram caption for a picture of your breakfast sausages,That's What She Said Game - Second Expansion
Instant oatmeal. Just add ______.,Kids Create Absurdity
"Instead of ""Hooyah!"" the new Navy catch phrase should be ""______!""",Disgruntled Decks: Navy Edition
"Instead of a garter toss, try ____________.",Cads About Matrimony
"Instead of a garter toss, try ____________.",Cads About Matrimony Poly Pack
"Instead of a turkey, I think I will pardon _________ on Thanksgiving.","Bad Campaign, The Presidential Party Game!"
"Instead of coal, Father Christmas now gives the bad children ______.",CAH Base Set
"Instead of coal, Santa now gives the bad children ______.",CAH Base Set
"Instead of coal, Santa now gives the bad children ___.",Cards Against/For South Africa
"Instead of electricity, my new hybrid car runs by converting ______ into ______.",The Game Without Decency
"Instead of going out, I'm secretly posting reviews of ________.",Skewered And Roasted
"Instead of paper, modern couples are using ______ as the first wedding anniversary gift.",The Game Without Decency
"Instead of playing a card this round, everyone must stare the Card Czar while making a sound you'd make after tasting something delicious.",Weed Pack
"Instead of rings, Sonic now collects ______.",Voter's Choice: The Fourth Expansion
"Instead of roses, he gave me _______.","Humanity Hates the Holidays ""Love"" Edition"
"Instead of taking people's guns, let's focus on _________.", 2016 Election Game 
Instead of the bedroom let's have sex in (a/an) ____.,Dirty Nasty Filthy
"Instead of trusting my inner voice, I think I'll just trust ______.",Cads Against Adulting
"Instead of turkey this year, my family is going to eat ______ for Thanksgiving.",Kids Create Absurdity
"Instead of using wax to buff the deck, the E-5 and below are forced to use ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Instead of waterboarding Guantanamo Bay prisoners now have to endure ______, sometimes for hours on end.",Cats Abiding Horribly: Episode I - The Dirty Goblin
"Instead of waterboarding, Guantanamo Bay prisoners now have to endure ______, sometimes for hours on end.",Cats Abiding Horribly: Episode I - The Dirty Goblin
Instructions unclear: dick stuck in ______.,Crabs Adjust Humidity: Volume 5
Instructions unclear: dick stuck in _____.,Crazy & Horrible Rabbit - Vol. 1
Interrogators are now using ______ and ______ as their new go-to torture methods.,Disgruntled Decks: Marine Corps/Jarhead Edition
Introducing powdered ______! Simply add water to activate.,Words Against Morality: Volume 4
Introducing the amazing superhero/sidekick duo! It's ______ and ______!,CAH Base Set
"Introducing X-Treme Baseball! It's like baseball, but with ______!",CAH Base Set
Introducing...________ the new childrens book by David Walliams.,Pigs Against Profanity: Volume 3
Investing in _________ was a total waste of money., 2016 Election Game 
Inviting the new neighbours around to enjoy ____.,Depravity
"Iran's new ""state of the art"" drone is basically a hang gliding Roomba® that uses ______ as its main weapon system.",Disgruntled Decks: Air Force Edition
Is ______ an instrument?,Cards for the Masses
Is ______ the illegitimate love child of Seth Rogen and James Franco?,WTF Did You Say?!?
Is it any wonder that people started googling ______ and ______?,The Game Without Decency
Is it OK that I sometimes fantasize about ______?,"Guards Against Insanity, Edition 5"
Is it really art? A sculpture of ______ made from ______!,The Game Without Decency
"Is that ______ in your pants, or are you just happy to see me?",Evil Apples
Is that _________ stuck in your braces?,Not Parent Approved
"Is this a dagger I see before me? No, it's _______________.",Carbs of the Huge Manatee: General Expansion 3
ISIS is now demanding ______ in exchange for hostages.,Disgruntled Decks: Navy Edition
Isn't it about time we legalized ______.,WTF Did You Say?!?
"Isn't the famous saying, ""Speak softly but carry a big ______""?",The Game Without Decency
"It costs how much for an abortion? I'm sorry, but we're going to have to use the ______ method instead.","Guards Against Insanity, Edition 4"
It depends on what the meaning of the word(s) _________ is/are.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
It didn't take long before ______ replaed Harriet Tubman on the $20 bill.,The Worst Card Game: 2016 National Edition
It is a truth universally acknowledged that ______ brings happiness.,Cards Against Profanity
It is bad luck to ______ before rolling a joint.,Potheads Against Sanity
It is bad luck to ______ on St. Patrick's Day.,Potheads Against Sanity
"It is better to have tried and failed, then to ______.",Potheads Against Sanity
it is claimed Avicci`s death was caused by ________,Pigs Against Profanity: Volume 2
It is my belief that ________ would improve racial relations worldwide.,Skewered And Roasted
It is not widely known that most microbreweries also make ______.,Voter's Choice: The Fourth Expansion
"It is pitch black.

You are likely to be eaten by ______.",Crabs Adjust Humidity: Volume 7
It is said that the Inuit have 40 different words for ______.,Cards for the Masses
"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",CAH: Blue Box Expansion
"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",CAH: Fourth Expansion
It makes me sad to think about?,Cakes Athirst Hilarity Volume 2
"It may be totally unconventional and shunned by society in general, but when you come right down to it, ______ is the best purchase I've ever made.",Cocks Abreast Hostility: Cock Pack One: Just The Tip
"It may have taken 11 years to process the paperwork, but you were finally awarded the Medal of Honor for ______.",Disgruntled Decks: Army Edition
"It may not be much, but we’ll always have ______.",The Game Without Decency
"It might be the bath salts talking, but I love ______.",Clones Attack Hilarity #1
"It might look like ______, but it's actually ______.",Rotten Apples: The Tasteless Adult Party Game
"It never fails! You just want to nap at the USO, but ______ always gets in the way.",Disgruntled Decks: Air Force Edition
It probably wasn`t the best idea to get caught _______ on the first day in my new job,Pigs Against Profanity: Volume 2
It rubs ______ on its skin or else it gets ______ again.,Cards and Punishment Vol. One
It rubs the _______________ on its skin or else it gets the _______________ again.,Carbs of the Huge Manatee: General Expansion 2
It should be a goal of the human race to ensure that ______ never happens.,"Crows Adopt Vulgarity, Vol. 3"
It takes both _____ and _____ to snatch victory from the jaws of defeat.,"Guards Against Insanity, Edition 1"
"It took seven years in a remote Tibetan monastery, but I finally learned the art of ______.",Crabs Adjust Humidity: Volume 1
It turns out the Reapers didn't want to destroy the galaxy. They just wanted ______.,Mass Effect Pack
It was ______ in the library with the ______.,The Game Without Decency
It was all fun and games until ______.,KinderPerfect: More Expansion Pack
It was bound to happen. ______ has taken over the world.,"Crows Adopt Vulgarity, Vol. 4"
"It was Colonel Mustard, in the study, with ______.","Crows Adopt Vulgarity, Vol. 2"
It was the craziest thing I've ever seen. I once saw a dependa kill a man with ______.,Disgruntled Decks: Air Force Edition
"It's 106 miles to Chicago, we got a full tank of gas, _______________, it's dark… and we're wearing sunglasses.",Carbs of the Huge Manatee: General Expansion 3
It's 3AM.  The red phone rings.  It's ______.  Who do you want answering?,Vote For Trump Pack
"It's a bird!
It's a plane!
No, it's ______!",Cats Abiding Horribly: Episode III - The SJWs Strike Back
It's a bird! It's a plane! No it's ______!,Kids Against Maturity
It's a fine line between pleasure and ______.,Cards for the Masses
It's a good thing I am allergic to ______.,Not Parent Approved Expansion Pack #1
"It's a jungle out there, and that's why i never leave the house without my trusty ___.",Hilarious!
It's a pity that kids these days are all getting involved with ___.,Cards Against/For South Africa
It's a pity that kids these days are all getting involved with ___.,Hilarious!
"It's a secret, but if you whisper ______ to an illegal Pete's employee, they'll add ______ to your burrito.",The Worst Card Game: Colorado Edition
"It's a simple dream, its about _________. It has always been about that.","Bad Campaign, The Presidential Party Game!"
It's a trap!,CAH Base Set
It's about time we deported ______ to Australia.,Kiwis Versus Morality
It's all about ______ - no ______.,Crabs Adjust Humidity: Volume 5
It's all about _____-no _____.,Crazy & Horrible Rabbit - Vol. 1
It's all fun and games until someone loses ______.,"Crows Adopt Vulgarity, Vol. 4"
It's always darkest before _______.,Bards Dispense Profanity
It's always fun when ______ are at the pool.,Cards for the Masses
It's annoying that parents are so obsessed with _________.,Not Parent Approved
"It's been a long and difficult journey, but I'm now officially recovering from my encounter with ____",Pigs Against Profanity: Volume 1
It's been five years but no one in the family will talk about the ______incident.,The Game Without Decency
It's beginning to look a lot like _____.,Seasons Greetings Pack
It's dangerous to go alone!  Take ______.,Cards and Punishment Vol. One
It's dangerous to go alone! Take ______.,Words Against Morality: Volume 2
It's dangerous to go alone! Take this.,Cards and Punishment Vol. One
It's finally happening! I'm finally doing it! Yes! It's time for ______!,Absurd Box Expansion
It's finally summer! Time to start __________.,Not Parent Approved
It's hard to stand at parade rest when you're _________.,Charlie Foxtrot
"It's late at night. You're in bed with your lover, Patrick Stewart. He leans over with a twinkle in his eye and asks ""How about ______?""",Absurd Box Expansion
It's like ______ in a round hole.,Rotten Apples: The Tasteless Adult Party Game
It's Morphin' Time! Mastodon! Pterodactyl! Triceratops! Sabertooth Tiger! ______!,90s Nostalgia Pack
"It's my birthday, so my wife said we could try ______ tonight.",Evil Apples
It's never a bad time for ______!,"Crows Adopt Vulgarity, Vol. 4"
It's not a real bachelor party without ______!,Evil Apples
It's not cheating if (its/I'm) _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
"It's not surprising, the cling to their guns and _________.","Bad Campaign, The Presidential Party Game!"
"It's not that I'm so dependent on my phone, it's just that it keeps me distracted from ______.",Cads Against Adulting
It's not true Catholic church unless it offers ______.,The Catholic Card Game: Five Deck Expansion Pack
it's not truly the holidays until my Grandpa shouts ______,That's What She Said Game - Second Expansion
It's often argued that our ancestors would have never evolved without the aid of ______.,Cards for the Masses
"It's one thing to have their dog stare at you while you're making out, It's another to be stared at while ______.",Carbs of the Huge Manatee - Online Dating Expansion 1
It's pretty obvious my kid's first word will be ______.,Babies vs. Parents
It's raining cats and ______.,Kids Create Absurdity
It's simple: we kill: _________.,Charlie Foxtrot
It's so easy to hack the CIA. Even _________ can do it., 2016 Election Game 
"It's so sad. Even with ______, ""Insert Name"" can't get a date.",Personally Incorrect
"It's the _________, stupid.","Bad Campaign, The Presidential Party Game!"
"It's the 21st century.
A woman shouldn't have to apologize for ______.",Absurd Box Expansion
It's the Navy's birthday! What are you doing to celebrate?,Disgruntled Decks: Navy Edition
"It's time for me to share my story. I will call it, ______: A Memoir.",Cards Against Profanity
It’s a pity that kids these days are all getting involved with ______.,CAH Base Set
"It’s not _________ that puts strain on a relationship, it’s ___________.",Cads About Matrimony
"It’s not delivery.
It’s ______.",PAX Prime 2015 Food Pack A (Mango)
It’s not delivery. It’s ______.,Food Pack
It’s trendy to include ___________ in your wedding these days.,Cads About Matrimony
It’s trendy to include ___________ in your wedding these days.,Cads About Matrimony Poly Pack
It`s been revealed that Disney`s latest animated film will be called - ____________.,Pigs Against Profanity: Volume 3
"Its important to always bring ______ when going to the bar with ""Insert Name"".",Personally Incorrect
"Its okay, millions of parents struggle with ______ every day.",KinderPerfect: Naughty Expansion Pack
"IYAOYAS.
Translation: ______.",Disgruntled Decks: Navy Edition
Jacinda Arden moonlighted as ______ before becoming prime minister.,Kiwis Versus Morality
"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",CAH: Blue Box Expansion
"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",CAH: Sixth Expansion
"Jellicle Cats come out tonight, Jellicle Cats come one, come all, the time for _____ is now, Jellicles come to the Jellicle Ball.",Theatre Pack - CATS Musical Pack
Jenny McCarthy has moved on from vaccines and is now spreading misinformation that _____ causes autism.,"Clams Attempt Harmonica, Volume 1"
"Jesus didn't just resurrect the dead and turned water into wine, he was also very apt in ______.",Cats Abiding Horribly Bonus Cards
Jesus is ______.,2012 Holiday Pack
Jesus is _____.,Seasons Greetings Pack
Jesus performed the miracle of ______ but it was never recorded.,The Catholic Card Game: Base Deck
Jesus specialized in ______ before his public ministry.,The Catholic Card Game: Base Deck
Jesus turned water into wine. I can turn potato salad into ______.,WTF Did You Say?!?
Jesus would never be caught ______.,The Catholic Card Game: Base Deck
Jesus's guilty pleasure was ______.,Words Against Morality: Volume 3
Job interviews: not the best place for ______.,Rotten Apples: The Tasteless Adult Party Game
John from the office tried ____ (ing) at the bar last night.,Dirty Nasty Filthy
John Key was caught tugging ______,Kiwis Versus Morality
Join ______ and help wipe out ______!,Conspiracy Theory
June is LGBT Pride Month. What is the Marine Corps doing to celebrate?,Disgruntled Decks: Marine Corps/Jarhead Edition
Junior's favorite cock block.,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Junior's favorite cockblock.,KinderPerfect (Commercial Set)
Just a spoon full of ______ helps the medicine go down.,Kids Against Maturity
Just because you're married doesn't mean you have to give up ________.,Cads About Matrimony Poly Pack
Just because you're married doesn't mean you have to give up ________.,Cads About Matrimony: Expansion 1
"Just call me by the nickname I had in high school: ""______"".",Rotten Apples: The Tasteless Adult Party Game
"Just once, I'd like to hear you say ""Thanks, Mom. Thanks for ______.""",CAH Base Set
"Just once, I'd like to hear you say ""Thanks, Mum. Thanks for ______.""",CAH Base Set
Just saw this upsetting video! Please retweet!! #stop______,CAH Base Set
Just say no to ______.,Rotten Apples: The Tasteless Adult Party Game
Just watch. ______ is how I will make history.,Not Parent Approved Expansion Pack #2
Kanye West attributes his genius to _____.,Cows Against Hamburgers - Patty Pack #1
Kanye West attributes his genius to _____.,Cows Grilling Hamburgers - Patty Pack #1
Kanye West grabbed the mic from the award winner and shouted ______,That's What She Said Game
"Karen still wants her 20 dollars back, or else you'll get _______!",Kiwis Versus Morality
"Karen still wants her 20 dollars back, or else you'll get ______!",Kiwis Against Morality
Karma is ______.,Cards for the Masses
Kazakhstan is now the world's number one exporter of _____.,Clones Attack Hilarity #2
Keep ______ away from my ______!,Conspiracy Theory
KEEP CALM AND CARRY ______,Bards Dispense Profanity
Keep that crusty ass Air Trans TSgt happy with a whole lotta ______!,Disgruntled Decks: Air Force Edition
Keep your ________ close but your enemies closer.,Cows Grilling Hamburgers - Patty Pack #1
"Ken ""____"" Steacy went back into his archives and found his original sketches for ______.",Desert Bus For Hope Pack
"Kevin Costner and Ashton Kutcher have teamed up for The Guardian II: Searchier, Rescueier, and ______.",Disgruntled Decks: Coast Guard/Coastie Edition
Key to a healthy marriage: _______.,Bards Dispense Profanity
Key to healthy marriage: ______.,Dick
"Kids and grown-ups love it so, the happy world of ______.","Crows Adopt Vulgarity, Vol. 4"
Kids Create Absurdity makes me want to ______.,Kids Create Absurdity
Kids these days have no respect for ______.,Words Against Morality: Volume 3
"Kids these days with their iPods and their Internet. In my day, all we needed to pass the time was ______.",2013 Holiday Pack
Kids were horrified to learn that their teddy bears were actually stuffed with ______.,The Game Without Decency
"Kids, don't talk to strangers. Especially the ones who try to give you ______.",Words Against Morality: Volume 2
"Kids, I don't need drugs to get high. I'm high on ______.",CAH Base Set
Kill two birds with one ______.,Kids Against Maturity
Kim Jong-Un pressed his big red button and screamed ______,That's What She Said Game - Second Expansion
Kim Kardashian's ass is actually filled with ______.,"Crows Adopt Vulgarity, Vol. 2"
"Kiss me from head toe, then use ____ to please me.",Dirty Nasty Filthy
Kiwis love ______. That's our tucker!,Kiwis Versus Morality
"Knock, knock.

(Who's there?)

______.",Dick
"Knock, knock.
Who's there?",Kids Create Absurdity
"Knock, knock.
Whos there?
______.",Kids Against Maturity
Know what I saw when I peeked at my neighbors? ______.,Rotten Apples: The Tasteless Adult Party Game
KykNET's new reality show features eight has-been celebrities cooking with ___.,Hilarious!
Kyknet's new reality show features eight washed up celebrities cooking with ___.,Cards Against/For South Africa
"Ladies and gentlemen, I propose a two-pronged plan. The first prong will be ______, and the second prong will be ______.",Absurd Box Expansion
Lady and the ______.,Kids Against Maturity
"Last April Fools Day, my friends went too far with ______.",Words Against Morality: Volume 3
"Last holiday, I brought back ________.",Skewered And Roasted
"Last night ""Insert Name"" confessed he/she had ______ trapped in the basement.",Personally Incorrect
Last night I dreamt about _______.,Kids Create Absurdity
Last night I dreamt of an alternate universe where everyone shit ______ and puked ______.,Cards and Punishment Vol. One
Last night I found ______ in my bed.,Kids Against Maturity
Last night I had a nightmare about _________.,Not Parent Approved
Last night I had a weird sex dream about ______.,WTF Did You Say?!?
Last night I had the oddest dream about ______ and ______.,The Game Without Decency
"Last night I smoked so much, I wanted to ______.",Potheads Against Sanity
"Last night my husband and I invited ______ over for a threesome. How YOLO of us, right?",Cats Abiding Horribly: Episode I - The Dirty Goblin
Last night was totally epic and can only be explained throught he eloquence of hashtags! #______ #______ #______.,Cards and Punishment Vol. One
"Last night, I crossed ______ off my bucket list.",Cards and Punishment Vol. Two
"Last night, I dreamt about ________.",Skewered And Roasted
"Last night, I had a horrible nightmare. I was on my knees, dressed in an orange jumpsuit and about to be beheaded by ______ in the name of ______.",Cats Abiding Horribly: Episode II - A New Low
"Last night, I tried ______ again.  It was MUCH better the second time.",Carbs of the Huge Manatee: General Expansion 1
"Last night, I used _____ as lube. It didn't end well.","Guards Against Insanity, Edition 1"
"Last time I smoked pot, I stupidly decided to ______.",Potheads Against Sanity
"Last time I went to a club with ""Insert Name"" he/she brought home ______.",Personally Incorrect
"Last week on my nightly stroll, I was bitten by ______. Now I have a unquenchable thirst for ______.",Cats Abiding Horribly: Episode II - A New Low
"Last week, three Florence teens climbed the water tower to paint ______.",Cols Against Kentucky 2
"Last Year for Christmas ""Insert Name"" gave all of his/her friends ______.",Personally Incorrect
"Last year, ""Insert Name"" got a new sweater for his/her birthday, but returned it and bought tickets to see ______ instead.",Personally Incorrect
Laugh at the world and the world will ______.,Potheads Against Sanity
Leading adult faith formation is difficult because of ______.,The Catholic Card Game: Five Deck Expansion Pack
Leading marriage experts suggest ________ to improve your intimacy.,Cads About Matrimony Poly Pack
Leading marriage experts suggest ________ to improve your intimacy.,Cads About Matrimony: Expansion 1
Left ______ outside the dairy. Nekk minnit ______!,Kiwis Against Morality
Left ______ outside the dairy. Nekk minnit ______!,Kiwis Versus Morality
Legend has it Prince wouldn't perform without ______ in his dressing room.,CAH: Red Box Expansion
Legend has it upon catching a leprechaun you receive ______.,WTF Did You Say?!?
Legend tells of a princess who has been asleep for a thousand years and can only be awoken by ______.,Fantasy Pack
Leni Riefenstahl's last movie was called Triumph of ______.,Fascism Pack
Leonardo DiCaprio will finally win an Oscar for his role in ______.,Cards and Punishment Vol. One
