Response Cards,Set
Having eight small children,Cards Against Profanity
Having explosive diarrhea in your date's bathroom.,Carbs of the Huge Manatee - Online Dating Expansion 1
Having eyes that look like anuses.,Hilarious!
Having inappropiate thoughts about being fucked by a horse,Pigs Against Profanity: Volume 1
Having just one glass of champagne.,Fun in the Oven
Having Mariah Carey stuck in my head for several hours straight,Cards Against Profanity
"Having Maury Povich tell you, ""You are not the father"".","Humanity Hates the Holidays ""Love"" Edition"
Having mind-blowing sex with someone whose politics are the polar opposite of yours.,Carbs of the Huge Manatee - Online Dating Expansion 1
Having more hair on your balls that on your head.,"Crows Adopt Vulgarity, Vol. 1"
Having more Oscars than Leonardo DiCaprio.,"Crows Adopt Vulgarity, Vol. 1"
Having more sex while pregnant than you were before.,Fun in the Oven
Having multiple personalities and none of them are any fun.,Clones Attack Hilarity #1
Having my children live with me until the day I die,Cards Against Profanity
Having my credit card declined.,Cads Against Adulting
"Having nipples so wide that they start to become one, like a unibrow.",Cards and Punishment Vol. Two
Having no idea what the fuck is going on.,Desert Bus For Hope Pack
Having no idea what you're doing on your first finger bang,Depravity
"Having no legs, just toes.",Absurd Box Expansion
Having no one to shake hands with at the sign of peace.,The Catholic Card Game: Base Deck
having no place to sit,Dick
Having nothing to prove.,PAX Prime 2014 Custom Printed Cards
Having only five minutes left of computer time.,Not Parent Approved
Having penises as nipples.,Cakes Athirst Hilarity Volume 4
Having priests as friends.,The Catholic Card Game: Five Deck Expansion Pack
Having sex for the first time.,CAH Base Set
"Having sex in Mammoth Cave in order to join the ""mile-low club.""",Cols Against Kentucky 2
Having sex in the neighbors hot tub.,Cakes Athirst Hilarity Volume 2
Having sex on a giant mound of bubble wrap.,Carps & Angsty Manatee - Volume 1
"Having sex on tap, all thanks to your wife's dementia.","Guards Against Insanity, Edition 2"
Having sex on top of a pizza.,CAH : Third Expansion
Having sex on top of a pizza.,CAH Base Set
Having sex on top of a pizza.,CAH: Red Box Expansion
Having sex too soon after giving birth.,Fun in the Oven
Having sex with a beautiful person.,CAH: Green Box Expansion
Having sex with a dead baby fetus.,Cakes Athirst Hilarity Volume 3
Having sex with a man and then eating his head.,CAH: Green Box Expansion
Having sex with every man in Winnipeg.,CAH Base Set
"Having sex with Mildred, Arnold Schwarzenegger's nanny and girlfriend.",Bad Hombres Against Fake News Pack 1
Having sex with someone who learned their technique from watching bad porn.,Carbs of the Huge Manatee - Online Dating Expansion 1
Having sex with the principal.,Voter's Choice: The Second Expansion
Having sex with your mom.,CAH: Green Box Expansion
Having sexual thoughts about that hot cousin.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Having shotguns for legs.,CAH : Third Expansion
Having shotguns for legs.,CAH Base Set
Having shotguns for legs.,CAH: Red Box Expansion
Having sloppy sex as your dog watches.,"Crows Adopt Vulgarity, Vol. 1"
"Having so little hope for your child's future that you name him ""Jathan.""",Crabs Adjust Humidity: Volume 7
Having some feelings in the rain.,Carps & Angsty Manatee - Volume 2
Having someone push in your stool for you,Rotten Apples: The Tasteless Adult Party Game
Having surprise twins… or triplets!,Fun in the Oven
Having the appetite of Aquinas.,The Catholic Card Game: Five Deck Expansion Pack
"Having the biggest, baddest sewing machine on the block",Cards Against Profanity
Having the coolest Pokémon® cards.,Not Parent Approved Expansion Pack #1
Having the courage to give up,JadedAid: Peace Corps Expansion Pack
Having the courage to give up,KinderPerfect (Commercial Set)
Having the Tabernacle off to the side.,The Catholic Card Game: Generations Expansion Pack
Having the weight of the world on my shoulders,Cards Against Profanity
Having thirty sons named Chad.,Absurd Box Expansion
Having to “collect” bull sperm for a living.,Words Against Morality: Volume 4
Having to go really bad,Rotten Apples: The Tasteless Adult Party Game
Having to read your boss's mind after zero guidance,Depravity
Having to send dinero to Chiapas.,Bad Hombres Against Fake News Pack 1
Having to stay inside for recess,Kids Create Absurdity
Having to think about your ex to cum,Depravity
"Having to transfer to a different diocese because, apparently, filling the youth group with ""the holy spirit"" isn't something that is up for interpretation.",Cocks Abreast Hostility: Cock Pack One: Just The Tip
Having too many Nativity sets.,The Catholic Card Game: Base Deck
Having tuna sandwiches with my favorite honkies.,Absurd Box Expansion
Having twins and giving one up for adoption.,Humanity Hates Trump: Base Set
Having two feast days.,The Catholic Card Game: Five Deck Expansion Pack
Having ugly feet.,The Catholic Card Game: Five Deck Expansion Pack
Having unprecedented skill with the bo staff,Cards Against Profanity
Having unprotected sex to honor the anniversary of Roe v. Wade.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Having visions.,The Catholic Card Game: Base Deck
Having wet hair at Mass.,The Catholic Card Game: Life Teen Expansion Pack
Having wet nightmares.,The Worst Card Game: 2016 National Edition
"Having your cat back away, hackles-up, hissing and yowling at your date.",Carbs of the Huge Manatee - Online Dating Expansion 1
Having your date cancel right after you take the Viagra.,Words Against Morality: Volume 1
"Having your date say grace while you think, “I'm picking up the tab, why are you thanking God?”",Carbs of the Huge Manatee - Online Dating Expansion 1
"Having your dick hole stomped by LtCol Rob Riggle, the OIC of stomping dick holes!",Disgruntled Decks: Marine Corps/Jarhead Edition
Having your embarrassing moments posted on YouTube™.,Not Parent Approved
Having your every decision examined by every single person on Earth,Cads About Maternity - A game for bad mommies
Having your favorite chilldhood memory replaced by a mixed-use condo.,The Worst Card Game: Colorado Edition
Having your middle-school boyfriend stick his tongue in your bellybutton to see if it feels like sex.,Cards With No Sexuality
Having your mom stay for a week to help with the new baby.,Fun in the Oven
Having your rubbers ravaged by Keas,Kiwis Versus Morality
Having your sexual partner wear a horse mask because you're not ready for real bestiality yet.,Words Against Morality: Volume 2
Having your titties sucked while sucking on titties.,Pride Pack
Having zero fucks to give.,Disgruntled Decks: Marine Corps/Jarhead Edition
Havng the painters in.,"Guards Against Insanity, Edition 5"
Hawaii.,Not Parent Approved
Hazing for the fuck of it.,Disgruntled Decks: Navy Edition
"Hazing Muslim boots on tumble dry, low heat.",Disgruntled Decks: Marine Corps/Jarhead Edition
Hazing yourself.,Disgruntled Decks: Marine Corps/Jarhead Edition
he that hath killed my king and whored my mother,Bards Dispense Profanity
He’s still dead.,Carbs of the Huge Manatee: General Expansion 2
Head lice,KinderPerfect (Commercial Set)
Head transplants,Conspiracy Theory
"head, and butt!",Bards Dispense Profanity
Headless Horseman,Cards for the Masses
headstrong women,Bards Dispense Profanity
Health and comfort inspections.,Disgruntled Decks: Navy Edition
Healthcare.gov.,Absurd Box Expansion
Hearing my parents have sex through the ceiling.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Hearing neighbors having sex... and not finding her believable.,Carbs of the Huge Manatee: General Expansion 1
Hearing the same jokes over and over again for all eternity.,Cads About Matrimony
Hearing the same jokes over and over again for all eternity.,Cads About Matrimony Poly Pack
Hearing your dad offer to give your mom his special cream pie.,"Humanity Hates the Holidays ""Love"" Edition"
Hearing your Mum and Dad fuck,Depravity
Hearing your neighbours having sex,Depravity
Hearing your parents copulate.,WTF Did You Say?!?
Heart Attacks,Personally Incorrect
Heart-warming orphans.,Hilarious!
"Hearting Donald Trump, Jr.'s tweets.",Trumped UpCards: The World's Biggest Deck*
Heartless extortion,Conspiracy Theory
Heartwarming orphans.,CAH Base Set
Heartwarming orphans.,Cards Against/For South Africa
Heat-Seeking Love Missile.,"Humanity Hates the Holidays ""Love"" Edition"
Heath Ledger.,CAH Base Set
Heathcliff.,Theatre Pack - CATS Musical Pack
Heather du-Plessis Allan in your wank bank,Kiwis Versus Morality
Heather Mills McCartney.,"Guards Against Insanity, Edition 1"
Heavily regulated vaginas.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack
Heavy breathing,Rotten Apples: The Tasteless Adult Party Game
Heavy flow.,Carbs of the Huge Manatee: General Expansion 1
Heidi Klum's former 10 body.,Humanity Hates Trump: Expansion Pack 1
"Helen Clark, the mother of a Nation",Kiwis Against Morality
Helen Keller,Evil Apples
Helen Keller.,Cards and Punishment Vol. Two
Helen Keller's Tampon.,Cakes Athirst Hilarity Volume 1
Helen Zille being chased by Redwing Starlings.,Hilarious!
Helen Zille being harried by a swarm of Indian Mynah birds.,Cards Against/For South Africa
Helicopter dick.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Helicopter parents,KinderPerfect (Commercial Set)
Helicopter parents,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Hellacious shits.,Words Against Morality: Volume 3
Helpies - selfies to brag about helping,JadedAid: A Card Game to Save Humanitarians
Helping extreme bigots and moderate bigots find common ground.,Trumped UpCards: The World's Biggest Deck*
Helping Santa Claus win again.,Trumped UpCards: The World's Biggest Deck*
Helping someone move and finding a giant bag of sex toys.,"Humanity Hates the Holidays ""Love"" Edition"
Helping them cheat on the SAT,KinderPerfect: Naughty Expansion Pack
Helping them look for their candy that you ate last night,KinderPerfect: More Expansion Pack
Helping your Grandad climax for his birthday,Depravity
Helping your grandparent get dressed,Kids Against Maturity
Helping yourself,Rotten Apples: The Tasteless Adult Party Game
Helplessly giggling at the mention of Hutus and Tutsis.,CAH Base Set
Hemorrhaging cash.,"Guards Against Insanity, Edition 4"
Hemorrhoid cream.,"Bad Campaign, The Presidential Party Game!"
hemorrhoids the size of asteroids,Evil Apples
Hemorrhoids the size of clementines.,Charlie Foxtrot
Hemorrhoids?,Fun in the Oven
Hemorrhoids.,Babies vs. Parents
Hemorrhoids.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
hemorroidal abcesses,Skewered And Roasted
Henry the Eighth's wives.,The Catholic Card Game: Base Deck
Henry V,Cards Against Profanity
Hentai,Personally Incorrect
"Hepatitis A, B & C!",Clones Attack Hilarity #2
Hepatitis C.,Crabs Adjust Humidity: Volume 6
"her C's,
her U's,
and her T's",Bards Dispense Profanity
"Her dry, scaly hands.",Crabs Adjust Humidity: Volume 2
"her fine foot, straight leg, and quivering thigh

and the demesnes that there adjacent lie",Bards Dispense Profanity
Her first boyfriend,KinderPerfect (Commercial Set)
Her first period,KinderPerfect (Commercial Set)
Her first period,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Her first time wearing makeup,KinderPerfect: Tween Expansion Pack
her lamb when it baes,Bards Dispense Profanity
"Her Majesty, Queen Elizabeth II.",CAH Base Set
"Her Royal Highness, Queen Elizabeth II.",CAH Base Set
her virgin-knot,Bards Dispense Profanity
herbal laxatives,Skewered And Roasted
Herding cats,Cards for the Masses
here comes the climax!,That's What She Said Game - First Expansion
here comes the money shot,That's What She Said Game - Second Expansion
"here, sir!
here, sir!
here, sir!
here, sir!",Bards Dispense Profanity
"here, taste this",That's What She Said Game
here… have a sniff,That's What She Said Game
HERESY!,The Catholic Card Game: Base Deck
Heretical tweets.,The Catholic Card Game: Five Deck Expansion Pack
Heritage minutes.,CAH Base Set
Heritage minutes.,CAH Base Set
Heritage minutes.,CAH: Canadian Conversion Kit
hermaphroditical Italian pictures,Dick
heroin,Skewered And Roasted
Heroin.,CAH Base Set
Herpagonasyphilaids.,Disgruntled Decks: Army Edition
Herpes,Personally Incorrect
Herpes.,Cads About Matrimony
Herpes.,Cads About Matrimony Poly Pack
Herpes.,Cakes Athirst Hilarity Volume 1
Herpes.,WTF Did You Say?!?
Hershey™ and the squirts,Kids Against Maturity
Hershey™ highway,Kids Against Maturity
Heteronormativity.,CAH Base Set
"Heteropaternal superfecundation

(Google it)",Cads About Maternity - A game for bad mommies
"Hey, fuck you buddy.",Crabs Adjust Humidity: Volume 4
Hickory-fucked pork ribs smothered in hot garbage.,Hidden Compartment Pack
Hidden Cameras,Personally Incorrect
Hideous man boobs.,Clones Attack Hilarity #2
Hiding a boner at work.,Hilarious!
Hiding a stash of dark chocolate.,Babies vs. Parents
Hiding a yak in your apartment.,Knitters Against Swatches Second Edition
Hiding an erection while wearing sweatpants.,Cakes Athirst Hilarity Volume 4
"Hiding behind the furniture, waiting to jump out and scare someone",Kids Create Absurdity
Hiding from border patrol.,Absurd Box Expansion
Hiding from the Nazis.,Jew Pack/Chosen People Pack
Hiding hooch around the house.,Humanity Hates The Holidays
Hiding hotdogs in my pocket as a treat for later.,Cads Against Adulting
Hiding in a dumpster to get out of morning PT.,Charlie Foxtrot
Hiding in the bathroom,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Hiding miraculous medals in a Protestant church.,The Catholic Card Game: Five Deck Expansion Pack
hiding the grossness,Bards Dispense Profanity
Hiding the M&Ms.,Cads About Matrimony
Hiding the M&Ms.,Cads About Matrimony Poly Pack
Hiding the phone chargers to get them to do their homework,KinderPerfect: Tween Expansion Pack
Hiding the remote control from your dad on Super Bowl® Sunday.,Not Parent Approved Expansion Pack #1
hiding under the bed while your parents have sex,Evil Apples
Hiding yarn purchases from my significant other.,Knitters Against Swatches First Edition
Hiding your cum because you hear your parents pulling in.,Cards With No Sexuality
High fiving an Afghan warlord.,Disgruntled Decks: Marine Corps/Jarhead Edition
high functioning alcoholism,Skewered And Roasted
High Park after dark,Cards About Toronto
High powered jacuzzi jets.,Carbs of the Huge Manatee: General Expansion 1
High protocol.*,Carbs of the Huge Manatee - Kink Expansion 1
High recidivism rates among minorities.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
High velocity freedom.,Disgruntled Decks: Marine Corps/Jarhead Edition
High water pants.,The Catholic Card Game: Base Deck
High-fiving after sex.,Cads About Matrimony
High-fiving after sex.,Cads About Matrimony Poly Pack
High-quality gout.,Trumped UpCards: The World's Biggest Deck*
Higher standards for first borns,KinderPerfect (Commercial Set)
Higher standards for first borns,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Highly racist Asian music.,Voter's Choice: The Second Expansion
Highveld Thunderstorms.,Cards Against/For South Africa
Highveld thunderstorms.,Hilarious!
Hihg-energy infidelity.,Trumped UpCards: The World's Biggest Deck*
Hijo de la chingada.,Bad Hombres Against Fake News Pack 1
"Hiking up a hillside covered in bear semen yelling ""I'm the queen of the forest!""",Absurd Box Expansion
Hilarious foreigners!,Crabs Adjust Humidity: Volume 4
Hilary Clinton in a tube top and assless chaps.,WTF Did You Say?!?
Hillary and Bill's secret sex tapes.,Humanity Hates Trump: Base Set
Hillary Barry's thigh gap,Kiwis Versus Morality
Hillary Clinton,Conspiracy Theory
Hillary Clinton,Rotten Apples: The Tasteless Adult Party Game
Hillary Clinton,The Game Without Decency
Hillary Clinton attending Donald Trump's wedding., 2016 Election Game 
Hillary Clinton serving on the Walmart Board of Directors., 2016 Election Game 
Hillary Clinton telling the truth about anything.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary Clinton.,CAH : Second Expansion
Hillary Clinton.,CAH: Red Box Expansion
Hillary Clinton.,Cads Against Adulting
Hillary Clinton's death stare.,CAH : Second Expansion
Hillary Clinton's emails., 2016 Election Game 
Hillary Clinton's emails.,CAH Base Set
Hillary Clinton's favorite nipple clamps,Skewered And Roasted
Hillary Clinton's Kevlar-lined pantsuit.,Crabs Adjust Humidity: Volume 6
Hillary Clinton's missing email server.,Trumped UpCards: The World's Biggest Deck*
Hillary Clinton's mysterious women powers.,Humanity Hates Trump: Expansion Pack 1
Hillary Clinton's secret sexts to Obama.,Humanity Hates Trump: Base Set
Hillary Clinton's sexts.,Humanity Hates Trump: Expansion Pack 1
Hillary Clinton's triumphant patriotic cock.,Crabs Adjust Humidity: Volume 5
Hillary Clinton's triumphant patriotic cock.,Crazy & Horrible Rabbit - Vol. 1
Hillary Clinton's wig.,Humanity Hates Trump: Base Set
Hillary doing her kegels during the debate., 2016 Election Game 
Hillary Duff,Kids Against Maturity
Hillary for Prison 2016.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary's chin hair.,"Bad Campaign, The Presidential Party Game!"
Hillary's dildo collection.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary's front-butt locked in a chastity belt.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Hillary's leather whip.,"Bad Campaign, The Presidential Party Game!"
Hillary's pantsuit., 2016 Election Game 
"Hillary's private email server filled with ""Government Classified Animal Porn"".",Humanity Hates Trump: Kickstarter Promo Cards
Hillsborough disaster part II,Pigs Against Profanity: Volume 1
Hints and allegations,Conspiracy Theory
Hip hop jewels.,CAH Base Set
Hiphopopotamus vs. Rhymenoceros,Kiwis Against Morality
Hiphopopotamus vs. Rhymenoceros,Kiwis Versus Morality
Hippies trampling American freedoms.,Disgruntled Decks: Navy Edition
Hips that do not lie,Cards Against Profanity
Hipster Babies,Personally Incorrect - Expansion 2 [Yellow Box]
Hipsters,Conspiracy Theory
Hipsters,Personally Incorrect
Hipsters serving brunch,Cards About Toronto
Hipsters.,CAH Base Set
Hipsters.,CAH: First Expansion
Hipsters.,CAH: Red Box Expansion
Hipsters.,Cakes Athirst Hilarity Volume 1
Hire that Stripper,Dirty Nasty Filthy
Hiring a maid and justifying it as local job creation,JadedAid: Peace Corps Expansion Pack
Hiring investigators to find ISIS's missing articles of incorporation.,Trumped UpCards: The World's Biggest Deck*
"Hiring Ivanka to life-coach Alaska, Mississippi, and other loser states.",Trumped UpCards: The World's Biggest Deck*
Hiring murderers as religious leaders.,The Catholic Card Game: Five Deck Expansion Pack
"Hiro, the dog.",PAX Prime 2014 Custom Printed Cards
Hiroshima.,Crabs Adjust Humidity: Volume 2
his beaver,Bards Dispense Profanity
his bridegroom clasp,Dick
his dog-heartefd daughters,Bards Dispense Profanity
"His Excellency, President for Life, Field Marshal Al Hadji Doctor Idi Amin Dada, VC, DSO, MC, Lord of All the Beasts of the Earth and Fishes of the Seas and Conqueror of the British Empire in Africa in General and Uganda in Particular",JadedAid: A Card Game to Save Humanitarians
His first attempt at a mustache,KinderPerfect: Tween Expansion Pack
His first box of condoms,KinderPerfect: Tween Expansion Pack
his goatish disposition,Bards Dispense Profanity
"His Holiness, the intergalactic space lord Xenu.",Cats Abiding Horribly: Episode I - The Dirty Goblin
his huge legs,Bards Dispense Profanity
his Jewish heart,Bards Dispense Profanity
his love-shaft,Bards Dispense Profanity
his massive forefinger,Dick
his own petard,Bards Dispense Profanity
his pale loaf-of-bread face,Dick
His prostate.,Cads About Matrimony
His prostate.,Cads About Matrimony Poly Pack
His Royal Highness King Goodwill Zwelithini kaBhekuzulu.,Cards Against/For South Africa
His Royal Highness King Goodwill Zwelithini kaBhekuzulu.,Hilarious!
his snow-white hump,Dick
his unsullied jet,Dick
his verdant jet,Dick
His-and-hers-and-hers sinks.,Trumped UpCards: The World's Biggest Deck*
Hispanic boaters who aren't smuggling drugs.,Disgruntled Decks: Coast Guard/Coastie Edition
Historical revisionism.,CAH: First Expansion
Historical revisionism.,CAH: Red Box Expansion
Historically black colleges.,CAH Base Set
hit me baby one more time,That's What She Said Game
Hit me like a real Westie.,Carbs of the Huge Manatee: Dance Expansion 1
Hitchhikers,Personally Incorrect
Hitler,Conspiracy Theory
Hitler,Personally Incorrect
Hitler fanfiction.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
Hitler in a swastika-embroidered thong.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Hitler youth Easy-Bake Ovens™.,Humanity Hates Trump: Base Set
"Hitler, Stalin, the whole crew.","Crows Adopt Vulgarity, Vol. 2"
"Hitler? Hitler! Hitler Hitler Hitler Hitler Hitler [last five ""Hitler""s are in decreasing font size]",Crabs Adjust Humidity: Volume 6
Hitler's brain,Conspiracy Theory
Hitler's gas bill.,PAX Prime 2014 Custom Printed Cards
Hitler's gas bill.,Words Against Morality: Volume 2
Hitler's lost art school acceptance letter.,Charlie Foxtrot
Hitler's sound economic policies.,Fascism Pack
"Hitting ""Reply All"" to an email and crashing the entire network.",Disgruntled Decks: Coast Guard/Coastie Edition
Hitting 3% of the Kiwibuild target,Kiwis Versus Morality
Hitting all the right spots.,WTF Did You Say?!?
Hitting another person with another person.,The Worst Card Game: 2016 National Edition
Hitting it until it works.,Words Against Morality: Volume 2
Hitting on women at Planned Parenthood.,Clones Attack Hilarity #2
Hitting the bong you made from a coke can,Kiwis Against Morality
Hitting the bong you made from a Coke can,Kiwis Versus Morality
Hitting the gas when you see possums eyes on the road ahead,Kiwis Versus Morality
Hitting the Peak befoe Sir Edmund Hillary,Kiwis Against Morality
Hitting the Peak before Sir Edmund Hillary,Kiwis Versus Morality
Hitting the sack,Rotten Apples: The Tasteless Adult Party Game
Hitting your new bench press PR because the boat rocked just the right way.,Disgruntled Decks: Navy Edition
"Ho, Ho, Hoes.",Humanity Hates The Holidays
Hoarder marathons on Netflix,Cards About Toronto
Hoarders,Cards for the Masses
Hoarding the only two squares of toilet paper left,JadedAid: A Card Game to Save Humanitarians
Hobbit porn starring Dildo backends.,Voter's Choice: The Fourth Expansion
Hobbit porn starring Dildo Backends.,Words Against Morality: Volume 2
Hobbiton,Kiwis Against Morality
Hobbiton,Kiwis Versus Morality
Hobos.,CAH Base Set
Hockey,Kids Create Absurdity
Hocking loogies on voters from the rooftop.,"Bad Campaign, The Presidential Party Game!"
Hodor.,Fantasy Pack
Hodor.,PAX East 2014 - Panel Cards
Hoes in different area codes.,Cakes Athirst Hilarity Volume 2
Hog-Ties,Dirty Nasty Filthy
Hogging the bathroom.,Cads About Matrimony
Hogging the bathroom.,Cads About Matrimony Poly Pack
hogshead of sperm,Dick
Hokey-pokey ice-cream,Kiwis Against Morality
Hokey-pokey ice-cream,Kiwis Versus Morality
"Hold my beer, I'm gonna try something.",WTF Did You Say?!?
Holden Commodore,Kiwis Against Morality
Holding a Democratic debate on weekend night during NFL playoffs., 2016 Election Game 
Holding down a child and farting all over him.,CAH Base Set
Holding hands when you get old.,Cads About Matrimony
Holding hands when you get old.,Cads About Matrimony Poly Pack
Holding hands with my crush during the Lord's prayer.,The Catholic Card Game: Base Deck
Holding hands with my imaginary friend.,"Bad Campaign, The Presidential Party Game!"
Holding in a fart on a crowded airplane.,Words Against Morality: Volume 2
Holding something high to keep it away from a short person,Cards Against Profanity
Holding the baby for the first time.,Fun in the Oven
Holding the proper political beliefs of my time to attract a mate.,CAH: Green Box Expansion
Holding up the line at Walgreens by trying to use an expired coupon.,Jew Pack/Chosen People Pack
Hollywood,Conspiracy Theory
Hollywood dreams,Kids Against Maturity
Holocaust denial.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Holocaust: The Musical.,"Crows Adopt Vulgarity, Vol. 1"
holy nakedness of our dancing girls!,Dick
Holy tax collectors.,The Catholic Card Game: Base Deck
Holy water,Conspiracy Theory
Home Brand tomato sauce,Kiwis Against Morality
Home Grown Terrorists,Personally Incorrect
Home video of Oprah sobbing into a Lean Cuisine®.,CAH Base Set
Home-buying tips from Billy T James,Kiwis Versus Morality
Homebrand tomato sauce,Kiwis Versus Morality
Homeland Security,Conspiracy Theory
homeless men jerking off in public,Evil Apples
Homeless People,Personally Incorrect
Homeless people everywhere.,WTF Did You Say?!?
Homeless people.,CAH Base Set
Homeless people.,Cards Against/For South Africa
Homeless voters.,Humanity Hates Trump: Base Set
Homely women in fashion shows.,Hilarious!
Homemade Abortion Kit(s),Personally Incorrect - Expansion [Red Box]
Homemade baby food.,Fun in the Oven
Homemade Birth Control,Personally Incorrect
Homemade chunky yogurt.,"Bad Campaign, The Presidential Party Game!"
Homemade cookies made with hate.,Words Against Morality: Volume 3
Homemade Desert(s),Personally Incorrect - Expansion [Red Box]
Homeopathic remedies.,Carps & Angsty Manatee - Volume 2
Homeschooling your kids so the Algebra Devil can't get them,"Clams Attempt Harmonica, Volume 1"
Homework.,CAH: Green Box Expansion
Homewrecker,Personally Incorrect
Homicidal ostriches.,Words Against Morality: Volume 3
Homie Hopping,Dirty Nasty Filthy
Homo milk.,CAH Base Set
Homo milk.,CAH: Canadian Conversion Kit
Homoerotic ass slapping amongst athletes.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Homoerotic beach volleyball.,Hilarious!
Homoerotic Jello wrestling.,Carps & Angsty Manatee - Volume 2
Homoerotic undertones.,Cads About Matrimony
Homoerotic undertones.,Cads About Matrimony Poly Pack
Hōne Heke hacking down a flagstaff,Kiwis Versus Morality
Honey,Dirty Nasty Filthy
Honey badger,Kids Against Maturity
"Honey Boo Boo shotgunning a 2-litre bottle of ""go-go juice.""",Crabs Adjust Humidity: Volume 1
honeying and making love over the nasty sty,Bards Dispense Profanity
Honkies.,"Guards Against Insanity, Edition 4"
Honky-ass motherfuckers.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Honoring C-130 heritage by shitting in front of 30 paratroopers.,Disgruntled Decks: Air Force Edition
Hoobastank.,CAH: 2000s Nostalgia Pack
Hoof hearted,Kids Against Maturity
Hook Up,Dirty Nasty Filthy
Hookers,Rotten Apples: The Tasteless Adult Party Game
Hookers and blow.,Crabs Adjust Humidity: Volume 3
hooking,Skewered And Roasted
Hooking up at a Tegan & Sarah concert.,Crabs Adjust Humidity: Volume 2
Hooking up at a Tegan and Sara concert.,Crabs Adjust Humidity: Volume 2
Hooking up at parent-teacher conferences,KinderPerfect: Naughty Expansion Pack
Hooking up at pre-service training,JadedAid: Peace Corps Expansion Pack
Hooking up with Chris Christie.,Trumped UpCards: The World's Biggest Deck*
Hooking up with Naz from The Bachelor,Kiwis Versus Morality
hooking up with your drug dealer,Evil Apples
Hooning.,CAH Base Set
"Hoopnugget, the game where you throw a nugget into a hoop.",Absurd Box Expansion
HOOYAH!,Disgruntled Decks: Navy Edition
Hope.,CAH Base Set
Hope.,Cards Against/For South Africa
Hope.,Hilarious!
Hopelessness.,"Bad Campaign, The Presidential Party Game!"
Hoping all the anal sex wont prolapse your rectum,Depravity
Hoping no one finds out about your night in the cells,Depravity
Hoping no one finds out about your sex worker double life,Depravity
Hoping raw vegetables will cure your cancer.,Words Against Morality: Volume 1
Hoping she is really on the pill,Depravity
Hoping that bitch gets AIDS.,Words Against Morality: Volume 1
Hoping the doctor doesn't find any of last night's cum as they open the speculum,Depravity
Hoping the person you slept with didn't notice your piles,Depravity
Hoping the recurring rash isn't an STI,Depravity
Hoping there's no poo their cock when it comes out of your arse,Depravity
Hoping they deleted the naked pictures of you on their phone,Depravity
Hoping they pull out because you're not on the pill,Depravity
Hoping you go into labor before Mecury goes retrograde.,Fun in the Oven
Hoping your boss doesn't find out you've been skimming off the top,Depravity
Hoping your one night stand has fallen asleep as you let a huge fart go,Depravity
Hoping your parents don't see the porn charge on their bill,Depravity
Hoping your partner doesn't find out about your stag do fling,Depravity
Hoping your partner doesn't see any photos of your holiday romance online,Depravity
Hoping your silent fart isn't a smelly one,Depravity
Hormonal changes.,Fun in the Oven
Hormonal hurricanes.,"Bad Campaign, The Presidential Party Game!"
Hormone injections.,CAH Base Set
Hormone injections.,Cards Against/For South Africa
Hormone injections.,Hilarious!
hormone replacement therapy,Skewered And Roasted
Hormone therapy for incarcerated Sailors.,Disgruntled Decks: Navy Edition
horny band geeks,Evil Apples
Horny old men on Cialis.,Clones Attack Hilarity #2
Horny pensioners,Depravity
Horny Supreme Court Justices.,Carps & Angsty Manatee - Volume 1
Horny teenagers ejaculating all over everything.,Carps & Angsty Manatee - Volume 1
Horny toads.,Carps & Angsty Manatee - Texas Edition
Horny young Airman.,Disgruntled Decks: Air Force Edition
Horrible morning breath.,Humanity Hates Trump: Base Set
Horrifying laser hair removal accidents.,CAH Base Set
Horrifying laser tattoo removal accidents.,Cards Against/For South Africa
Horrifying laser tattoo removal accidents.,Hilarious!
Horror movies,Kids Create Absurdity
Horse calvary.,Disgruntled Decks: Army Edition
Horse meat.,CAH Base Set
Horse meat.,Cards Against/For South Africa
Horse meat.,Hilarious!
Horse shit.,Carps & Angsty Manatee - Texas Edition
Horseback riding while wearing a tutu.,Not Parent Approved
horsing foot on foot,Bards Dispense Profanity
Hospice care.,CAH Base Set
Hostile combovers.,Trumped UpCards: The World's Biggest Deck*
